ColumnName,CleanColumnName
_accountid_ID,Account ID
_activestageid_ID,Active Stage ID
_activestageid_value,Active Stage ID
_administratorid_ID,Administrator ID
_bookingstatus_ID,Booking Status
_bpf_jt_renewalid_value,BPF Renewal ID
_bpf_leadid_ID,BPF Lead ID
_bpf_new_contractid_ID,BPF New Contract ID
_bpf_opportunityid_ID,BPF Opportunity ID
_bpf_quoteid_ID,BPF Quote ID
_businessunitid_ID,Business Unit ID
_businessunitid_value,Business Unit ID
_calendarid_ID,Calendar ID
_calendarid_value,Calendar ID Value
_campaignid_ID,Campaign ID
_contactid_ID,Contact ID
_contactid_value,Contact ID Value
_createdby_ID,Created By ID
_createdby_value,Created By ID
_createdbyexternalparty_value,Created By External Party
_createdonbehalfby_ID,Created On Behalf By ID
_createdonbehalfby_value,Created On Behalf By ID
_customerid_ID,Customer ID
_customerid_value,Customer ID
_defaultmailbox_ID,Default Mailbox ID
_defaultmailbox_value,Default Mailbox ID
_defaultpricelevelid_ID,Default Price Level ID
_defaultpricelevelid_value,Default Price Level ID
_defaultuomid_ID,Default UOM ID
_defaultuomid_value,Default UOM ID
_defaultuomscheduleid_ID,Default UOM Schedule ID
_defaultuomscheduleid_value,Default UOM Schedule ID
_gbh_primaryquote_ID,Primary Quote ID
_header_ID,Header ID
_jt_account_value,Account ID
_jt_accountmanager_value,Account Manager ID
_jt_allianceproject_value,Alliance Project ID
_jt_appointmentsetter_value,Appt Setter ID
_jt_asranrevenueapproval_value,As Ran Revenue Approval ID
_jt_associatedfeature_ID,Associated Feature ID
_jt_autonumber_ID,Auto Number ID
_jt_autonumber_value,Auto Number ID
_jt_basiclifecarrier_value,Basic Life Carrier ID
_jt_billingcontact_value,Billing Contact ID
_jt_broker_value,Broker ID
_jt_carriersinconsiderationid_value,Carriers In Consideration ID
_jt_commissioncalcapproved_value,Commission Calc Approved ID
_jt_compliancemanager_value,Compliance Manager ID
_jt_contractsignatory_value,Contract Signatory ID
_jt_cycle_value,Sprint ID
_jt_dentalcarrier_value,Dental Carrier ID
_jt_dentalpolicycarrier_value,Dental Policy Carrier
_jt_devlead_value,Dev Lead Value
_jt_fsacarrier_value,FSA Carrier ID
_jt_generatingquote_value,Generating Quote ID
_jt_hracarrier_value,HRA Carrier ID
