,Column Names,,,,
Aad Created By Id,AAD Created By Id,,AAD,Aad,AAD
Aad Last Modified By Id,AAD Last Modified By Id,,ACI,Aci,ACI
Aad Last Published By Id,AAD Last Published By Id,,ACT,Act,ACT
Abstract,Abstract,,AM,Am,AM
Access Mode,Access Mode,,API ,Api ,API 
Access Right,Access Right,,BCC,Bcc,BCC
Access Rights Mask,Access Rights Mask,,CC,Cc,CC
Account Category Code,Account Category Code,,CDI,Cdi,CDI
Account Classification Code,Account Classification Code,,CDN,Cdn,CDN
Account Id,Account Id,,CRM,Crm,CRM
Account Id Entity Type,Account Id Entity Type,,EID,Eid,EID
Account Id Name,Account Id Name,,FTP,Ftp,FTP
Account Id Yomi Name,Account Id Yomi Name,,ID,Id,ID
Account Lead Id,Account Lead Id,,iFrame,Iframe,IFRAME
Account Number,Account Number,,IP,Ip,IP
Account Rating Code,Account Rating Code,,ISO,Iso,ISO
Account Role Code,Account Role Code,,JSON,Json,JSON
Aci Web End Point Url,ACI Web End Point Url,,KA,Ka,KA
Acknowledgement Template Id,Acknowledgement Template Id,,KB,Kb,KB
Acknowledgement Template Id Entity Type,Acknowledgement Template Id Entity Type,,KPI,Kpi,KPI
Acknowledgement Template Id Name,Acknowledgement Template Id Name,,MSDYN,Msdyn,MSDYN
Act Delivery Method,ACT Delivery Method,,OS,Os,OS
Action,Action,,PM,Pm,PM
Action Card Id,Action Card Id,,QA,Qa,QA
Action Data,Action Data,,RID,Rid,RID
Active Directory Guid,Active Directory Guid,,RSS,Rss,RSS
Active On,Active On,,SDK,Sdk,SDK
Active Stage Id,Active Stage Id,,Sharepoint,Sharepoint,SHAREPOINT
Active Stage Id Entity Type,Active Stage Id Entity Type,,SIC,Sic,SIC
Active Stage Id Name,Active Stage Id Name,,SLA,Sla,SLA
Active Stage Started On,Active Stage Started On,,SQL,Sql,SQL
Active Workflow Id,Active Workflow Id,,TO,To,TO
Active Workflow Id Entity Type,Active Workflow Id Entity Type,,Ts,Ts,TS
Active Workflow Id Name,Active Workflow Id Name,,UOM,Uom,UOM
Activities Complete,Activities Complete,,UPS,Ups,UPS
Activity Addition Alparams,Activity Addition Alparams,,URI,Uri,URI
Activity Id,Activity Id,,URL,Url,URL
Activity Id Entity Type,Activity Id Entity Type,,Us,Us,US
Activity Mime Attachment Id,Activity Mime Attachment Id,,UTC,Utc,UTC
Activity Mime Attachment Id Unique,Activity Mime Attachment Id Unique,,XML,Xml,XML
Activity Party Id,Activity Party Id,,,,
Activity Subject,Activity Subject,,,,
Activity Type Code,Activity Type Code,,,,
Act Status,ACT Status,,,,
Actual Close Date,Actual Close Date,,,,
Actual Cost,Actual Cost,,,,
Actual Cost Base,Actual Cost Base,,,,
Actual Decimal,Actual Decimal,,,,
Actual Delivery On,Actual Delivery On,,,,
Actual Duration Minutes,Actual Duration Minutes,,,,
Actual End,Actual End,,,,
Actual Integer,Actual Integer,,,,
Actual Money,Actual Money,,,,
Actual Money Base,Actual Money Base,,,,
Actual Service Units,Actual Service Units,,,,
Actual Start,Actual Start,,,,
Actual String,Actual String,,,,
Actual Value,Actual Value,,,,
Actual Value Base,Actual Value Base,,,,
Address,Address,,,,
